Name,Latitude,Longitude
7 Star Lane,42.41678821,-71.53703618
Adams Drive,42.45705858,-71.53011528
Apple Blossom Lane,42.41461327,-71.51072562
Apple Blossom Way,42.41819824,-71.50658797
Arbor Glen Drive,42.42982024,-71.53411351
Asa Whitcomb Way,42.44714223,-71.51563211
Barton Road,42.40467142,-71.50539454
Billadell Road,42.41044663,-71.54243342
Birch Hill Road,42.41789931,-71.51248962
Boon Road,42.41287664,-71.51917382
Box Mill Road,42.43336592,-71.50362146
Boxboro Road,42.45477066,-71.51053604
Bradley Lane,42.43216867,-71.49086659
Brandymeade Circle,42.448038,-71.49929987
Brookmill Road,42.4298831,-71.51140694
Brookside Avenue,42.43236425,-71.50435263
Canterbury Road,42.45911255,-71.48803366
Carriage Lane,42.44268108,-71.50972965
Center Place,42.43592843,-71.50759573
Cider Mill Road,42.44308916,-71.53976817
Circuit Drive,42.42537153,-71.50909237
Conant Drive,42.45622086,-71.53801256
Cortland Drive,42.43467948,-71.5332584
Cranberry Circle,42.42316734,-71.53646839
Crescent Street,42.43884101,-71.50184173
Cross Street,42.41684135,-71.52466206
Davis Road,42.39788152,-71.50149927
Dawes Road,42.39950775,-71.48555846
Deacon Benham Road,42.41833419,-71.52162717
Deerfield Lane,42.43577491,-71.49110674
Delaney Street,42.44234708,-71.54463136
Devincent Drive,42.43373736,-71.4940721
Dunster Drive,42.4514321,-71.53325136
Edgehill Road,42.41469252,-71.54867379
Edson Street,42.41872373,-71.53656172
Elaine Avenue,42.42771445,-71.47487636
Eliot Drive,42.45976648,-71.53588447
Elizabeth Drive,42.4278376,-71.53026819
Elm Ridge Road,42.43697848,-71.49062092
Evelyn Road,42.42433953,-71.50725855
Fairway Drive,42.41875201,-71.53477684
Farm Road,42.44530905,-71.47382613
Faxon Drive,42.43526678,-71.48887669
Fieldstone Drive,42.46316815,-71.53527554
Forest Road,42.40721234,-71.52278482
Frances Circle,42.4139156,-71.54047824
Garner Road,42.46046894,-71.54106703
Gates Lane,42.43228747,-71.52364264
Gleasondale Road,42.42079228,-71.51992842
Golden Drive,42.43405919,-71.5312234
Great Road,42.43691823,-71.50709609
Hale Road,42.39786436,-71.49120709
Hallock Point Road,42.39777913,-71.4860552
Hartley Road,42.43889623,-71.50588449
Harvard Road,42.44381251,-71.5392644
Hastings Street,42.42828604,-71.47794886
Heather Lane,42.43071704,-71.53486819
Heights Street,42.42668421,-71.47662746
Heritage Lane,42.43046113,-71.48466954
Hickory Lane,42.4642577,-71.51332899
High Street,42.39959165,-71.52597596
Hiley Brook Road,42.43846726,-71.54116219
Hillcrest Avenue,42.43863549,-71.51425879
Homestead Lane,42.42712229,-71.50928297
Hudson Road,42.42103394,-71.53930485
Indian Ridge Road,42.41143195,-71.5404253
Johnston Way,42.4341142,-71.49568475
Kerrington Way,42.43897694,-71.52616352
Kettell Plain Road,42.42710492,-71.54950965
Kingland Road,42.40115693,-71.49904836
Kirkland Drive,42.45355796,-71.53925927
Lakewood Road,42.41079501,-71.50226746
Lanes End Road,42.43265583,-71.4892495
Lantern Lane,42.43714567,-71.53952722
Laws Lane,42.4291784,-71.50820013
Lowell Drive,42.45275261,-71.53525013
Maguire Lane,42.4290259,-71.53092609
Maple Street,42.42891772,-71.55108839
Marlboro Road,42.3994962,-71.52442066
Martin Lane,42.40880767,-71.50603324
Maura Drive,42.45713375,-71.52342982
McIntosh Drive,42.43270318,-71.53169272
Middlemost Way,42.42365559,-71.50578616
Militia Circle,42.44282949,-71.47447354
Ministers Way,42.43559205,-71.50174289
Mitchell Road,42.41424192,-71.54353519
North Shore Drive,42.39883647,-71.49329173
No Name Road,42.4610586,-71.53997819
Nyra Road,42.41631617,-71.5190497
O'Connell Way,42.39840022,-71.50412009
October Lane,42.44731545,-71.54350267
Old Bolton Road,42.43739209,-71.54853053
Orchard Drive,42.4338158,-71.53375646
Packard Road,42.44273637,-71.51128257
Partridge Lane,42.43879525,-71.53112054
Peabody Drive,42.45882513,-71.53119767
Pine Point Road,42.40875354,-71.50335589
Pine Ridge Road,42.42261762,-71.50296046
Point Way,42.44346131,-71.50343627
Pompositticut Street,42.43308068,-71.48104767
Queens Lane,42.40968673,-71.49960513
Railroad Avenue,42.39988085,-71.52339854
Randall Road,42.41690736,-71.53238729
Red Acre Road,42.44374133,-71.47815193
Riverside Park,42.4233214,-71.47337535
Robert Road,42.41564647,-71.51548119
Robinwood Lane,42.40928291,-71.52019762
Rockbottom Road,42.40564273,-71.52686323
Russet Lane,42.43906086,-71.50518906
South Acton Road,42.44742173,-71.48589749
Samuel Prescott Drive,42.43636743,-71.48610266
Sandy Brook Drive,42.41745409,-71.54157052
Sawmill Road,42.42580187,-71.50645183
State Road,42.39390199,-71.48211876
Sudbury Road,42.40625572,-71.49531032
Sylvan Drive,42.44679198,-71.5403456
Taylor Road,42.45797392,-71.52461787
Thicket Circle,42.41289601,-71.49911954
Timberedge Road,42.42377349,-71.5022936
Treaty Elm Lane,42.4224171,-71.51218583
Trefry Lane,42.46253014,-71.50925722
Tuttle Lane,42.44813181,-71.48150973
West Acton Road,42.44949006,-71.49493519
Walcott Street,42.41367238,-71.54755073
Walnut Ridge Road,42.44105823,-71.47977046
Warren Road,42.4401438,-71.50230227
Wedgewood Road,42.44181903,-71.53077947
Wetherbee Lane,42.4459464,-71.49279894
Wheeler Road,42.4313614,-71.51603037
Whelden Lane,42.46138812,-71.51202977
White Pond Road,42.42661121,-71.47966352
Whitman Street,42.41751324,-71.5146652
Whitney Road,42.43565383,-71.51656403
Wildwood Road,42.41242036,-71.5009197
Windmill Hill Road,42.41380298,-71.52250273
Woodman Drive,42.42876928,-71.47846397
Zander Way,42.44209114,-71.54373382
Fox Court,42.40121879,-71.48933593
Woodpecker Court,42.40162111,-71.49036543
Cardinal Court,42.40048716,-71.49072847
Cricket Court,42.39960098,-71.49430291
Foxglove Lane,42.40046,-71.49640277
Whispering Way,42.40165652,-71.4938838
Wildlife Way,42.40078693,-71.4912583
Woodland Way,42.4011606,-71.4956086
Ladyslipper Lane,42.40167678,-71.49590294
Rice Point Road,42.40215592,-71.49723557
